Id,Quantite,UniteDeMesureId,Nom
1,12,7,canneberges fraîches
2,3/4,3,sucre roux
3,1/4,3,jus d'orange frais
4,1/4,1,cannelle grillée
5,1/8,1,muscade
6,1,3,poires pelées et hachées
7,1,3,ananas haché
8,1/4,3,bourbon, rhum épicé ou brandy
9,.5,7,levure sèche active
10,2 1/2,3,eau chaude (45° C)
11,2,1,sel
12,2,2,huile d'olive
13,7,3,farine - tout usage
14,1,2,farine de maïs
15,1,,blanc d'œuf
16,1,2,eau
17,1 - 1 1/2,8,bœuf haché ou steak en fines tranches
18,2,2,beurre fondu ou huile d'olive
19,1,,petit oignon blanc - tranché ou coupé en dés
20,8,7,champignons cremini finement tranchés
21,4,,gousses d'ail hachées
22,2,2,farine sans gluten
23,1/2,3,vin blanc sec
24,1 1/2,3,bouillon de bœuf
25,1,2,Sauce Worcestershire
26,1/2,3,crème de noix de coco
27,1/2,7,levure active sèche
28,1/2,3,eau
29,1,2,sucre
30,1/2,3,sucre
31,1,3,eau bouillante
32,1/2,3,beurre
33,2,1,sel
34,3,,œufs - battus
35,4 1/2,3,farine - tout usage
36,1,,pâte à tarte réfrigérée, ramollie comme indiqué sur la boîte
37,5,,œufs - battus
38,1,3,crème 11,5 % M.G.
39,1,3,fromage ricotta
40,1/2,3,Persil italien - finement haché
41,1/4,3,oignon vert - haché
42,1/4,3,chou frisé
43,2,3,mozzarella - râpé
44,1,,préparation pour gâteau
45,3,7,gelée de fraise (boîte)
46,4,,œufs
47,1/2,3,sucre
48,1/4,3,farine - tout usage
49,1/2,3,fraises fraîches - finement tranchées
50,1,3,huile végétale
51,1/2,3,lait
52,2,8,épaule de porc - en cubes
53,2,2,huile de maïs
54,1,,oignon blanc - haché fin
55,2,,gousses d'ail hachées
56,12,,tomates Roma - coupées en dés
57,6,3,bouillon de poulet
58,1,,piment poblano - rôti, épluché, haché
59,1,,jalepeno - ensemencé et haché
60,1/2,1,cumin
61,1,1,poudre de piment
62,3/4,1,poivre noir
63,10,,tortillas de maïs - coupées en fines bandes
64,2/3,3,farine - tout usage
65,1/3,3,son d'avoine
66,1,2,sucre roux
67,1,1,vanille
68,1/8,1,sel
69,1,3,lait écrémé
70,1,2,beurre fondu
71,2,,œufs - séparés
72,4,3,bouillon de poulet
73,1/2,1,gingembre - râpé
74,2,2,eau
75,1,2,sauce soja
76,2,2,fécule de maïs
77,2,,œufs - battus
78,4,,oignon vert - haché
79,1,1,moutarde épicée
80,1,3,beurre fondu
81,1/2,3,sucre roux
82,1,1,vanille
83,3,3,flocons d'avoine
84,1/2,1,cannelle
85,1/4,1,sel
86,1,3,morceaux de chocolat noir
87,3/4,3,beurre d'arachide épais






